adjustedHolding,adjustedMarketValue,entityProperName,reportDate,reportedHolding,reportedMarketValue,symbol
64790,3785680,J.P. Morgan Exchange-Traded Fund Trust,2022-06-28,64790,3785680,AOS
62898,4252534,LORD ABBETT SERIES FUND INC,2021-05-26,62898,4252534,AOS
60841,4172476,SCHWAB STRATEGIC TRUST,2022-04-25,60841,4172476,AOS
60776,3551142,VANGUARD INTERNATIONAL EQUITY INDEX FUNDS,2022-06-29,60776,3551142,AOS
59507,4080990,VANGUARD SCOTTSDALE FUNDS,2022-04-29,59507,4080990,AOS
56914,3325485,John Hancock Exchange-Traded Fund Trust,2022-06-28,56914,3325485,AOS
53846,3440221,WisdomTree Trust,2022-05-17,53846,3440221,AOS
52706,3079612,TIAA-CREF FUNDS,2022-06-28,52706,3079612,AOS
52388,3061031,SCHWAB CAPITAL TRUST,2022-06-24,52388,3061031,AOS
52033,3568423,ALLSPRING MASTER TRUST,2022-04-29,52033,3568423,AOS
51223,2440264,Guardian Variable Products Trust,2020-02-12,51223,2440264,AOS
50929,3253854,SPDR SERIES TRUST,2022-05-27,50929,3253854,AOS
50646,4347959,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",2022-02-22,50646,4347959,AOS
50594,3232451,GREAT-WEST FUNDS INC,2022-05-20,50594,3232451,AOS
50455,3223570,SPDR SERIES TRUST,2022-05-27,50455,3223570,AOS
49485,3161597,Six Circles Trust,2022-05-31,49485,3161597,AOS
49462,4246313,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",2022-02-22,49462,4246313,AOS
49242,2383313,AMERICAN CENTURY WORLD MUTUAL FUNDS INC,2020-01-23,49242,2383313,AOS
48945,3127096,SPDR SERIES TRUST,2022-05-27,48945,3127096,AOS
47150,3012414,OSI ETF Trust,2022-05-11,47150,3012414,AOS
43789,2797679,NORTHERN FUNDS,2022-05-24,43789,2797679,AOS
43589,2546905,FIDELITY SALEM STREET TRUST,2022-06-24,43589,2546905,AOS
43543,2781962,JNL SERIES TRUST,2022-05-25,43543,2781962,AOS
42805,2501096,GOLDMAN SACHS TRUST,2022-06-24,42805,2501096,AOS
42351,2474569,SCHWAB INVESTMENTS,2022-06-24,42351,2474569,AOS
41653,2661210,VARIABLE INSURANCE PRODUCTS FUND II,2022-05-25,41653,2661210,AOS
40770,2604795,PENN SERIES FUNDS INC,2022-05-20,40770,2604795,AOS
40700,2600323,"T. Rowe Price Diversified Mid-Cap Growth Fund, Inc.",2022-05-27,40700,2600323,AOS
40064,2340940,DIMENSIONAL INVESTMENT GROUP INC,2022-06-28,40064,2340940,AOS
39705,2319963,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,39705,2319963,AOS
38988,2278069,iSHARES TRUST,2022-06-27,38988,2278069,AOS
38916,3340939,"AMERICAN CENTURY QUANTITATIVE EQUITY FUNDS, INC.",2022-02-22,38916,3340939,AOS
38700,2472543,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2022-05-26,38700,2472543,AOS
38474,2248036,FIDELITY CONCORD STREET TRUST,2022-06-24,38474,2248036,AOS
38265,1822945,CONESTOGA FUNDS,2020-02-11,38265,1822945,AOS
37847,2418045,SPDR SERIES TRUST,2022-05-27,37847,2418045,AOS
37426,2632171,"AMERICAN CENTURY MUTUAL FUNDS, INC.",2021-09-23,37426,2632171,AOS
36681,2143271,FIDELITY SALEM STREET TRUST,2022-06-24,36681,2143271,AOS
36039,2471555,SCHWAB STRATEGIC TRUST,2022-04-25,36039,2471555,AOS
34877,2037863,FIDELITY SALEM STREET TRUST,2022-06-24,34877,2037863,AOS
33018,1985042,TRUST FOR PROFESSIONAL MANAGERS,2022-06-27,33018,1985042,AOS
32894,1921996,iSHARES TRUST,2022-06-27,32894,1921996,AOS
32880,2391034,GMO TRUST,2021-10-22,32880,2391034,AOS
32488,2075658,TAX-MANAGED GROWTH PORTFOLIO,2022-05-27,32488,2075658,AOS
31983,2193394,Managed Portfolio Series,2022-04-27,31983,2193394,AOS
31842,1860528,iSHARES TRUST,2022-06-27,31842,1860528,AOS
31715,2026271,"BNY Mellon Strategic Funds, Inc.",2022-05-26,31715,2026271,AOS
30662,1791581,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,30662,1791581,AOS
30173,1927753,VANGUARD VARIABLE INSURANCE FUNDS,2022-05-31,30173,1927753,AOS
29902,1747174,FIDELITY CONCORD STREET TRUST,2022-06-24,29902,1747174,AOS
29847,1906925,SPDR SERIES TRUST,2022-05-27,29847,1906925,AOS
29725,2009707,Absolute Shares Trust,2021-05-17,29725,2009707,AOS
29651,1894402,Fiera Capital Series Trust,2022-05-24,29651,1894402,AOS
29309,1789901,AdvisorShares Trust,2021-11-18,29309,1789901,AOS
29211,1866291,Victory Portfolios II,2022-05-25,29211,1866291,AOS
27903,1782723,Brighthouse Funds Trust II,2022-05-26,27903,1782723,AOS
27764,1622251,FIDELITY COVINGTON TRUST,2022-06-23,27764,1622251,AOS
27549,1609688,J.P. Morgan Exchange-Traded Fund Trust,2022-06-28,27549,1609688,AOS
27522,1758381,JPMORGAN TRUST II,2022-05-27,27522,1758381,AOS
27073,1729694,JOHN HANCOCK VARIABLE INSURANCE TRUST,2022-05-26,27073,1729694,AOS
26936,1573870,FLEXSHARES TRUST,2022-06-28,26936,1573870,AOS
26871,1716788,Voya INVESTORS TRUST,2022-05-26,26871,1716788,AOS
26211,1531509,SCHWAB CAPITAL TRUST,2022-06-24,26211,1531509,AOS
25801,1769433,VANGUARD ADMIRAL FUNDS,2022-04-29,25801,1769433,AOS
25732,1644017,VANGUARD TAX-MANAGED FUNDS,2022-05-31,25732,1644017,AOS
25588,1495107,TIAA-CREF FUNDS,2022-06-28,25588,1495107,AOS
24954,1594311,SEI INSTITUTIONAL MANAGED TRUST,2022-05-26,24954,1594311,AOS
24918,1455959,iSHARES TRUST,2022-06-27,24918,1455959,AOS
24700,1578083,Voya PARTNERS INC,2022-05-26,24700,1578083,AOS
24500,1565305,STATE STREET INSTITUTIONAL INVESTMENT TRUST,2022-05-27,24500,1565305,AOS
24200,1546138,JOHNSON MUTUAL FUNDS TRUST,2022-05-26,24200,1546138,AOS
24154,1656481,Fidelity Commonwealth Trust II,2022-04-27,24154,1656481,AOS
23675,1512596,BOSTON TRUST WALDEN FUNDS,2022-05-25,23675,1512596,AOS
23226,1592839,SEI INSTITUTIONAL INVESTMENTS TRUST,2022-04-29,23226,1592839,AOS
23175,1480651,JNL SERIES TRUST,2022-05-25,23175,1480651,AOS
23151,1269138,BlackRock Funds IV,2021-02-25,23151,1269138,AOS
22738,1452731,WisdomTree Trust,2022-05-17,22738,1452731,AOS
22536,1316778,RUSSELL INVESTMENT CO,2022-06-29,22536,1316778,AOS
22513,1438356,Voya VARIABLE PORTFOLIOS INC,2022-05-26,22513,1438356,AOS
22411,1309475,iSHARES TRUST,2022-06-27,22411,1309475,AOS
22283,1301996,"PRINCIPAL FUNDS, INC.",2022-06-24,22283,1301996,AOS
22198,1522339,VANGUARD WORLD FUND,2022-04-29,22198,1522339,AOS
21903,1673827,"MANNING  NAPIER FUND, INC.",2022-03-23,21903,1673827,AOS
21739,1490861,VALIC Co I,2022-04-27,21739,1490861,AOS
21669,1266120,Two Roads Shared Trust,2022-06-24,21669,1266120,AOS
21093,1347632,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,2022-05-27,21093,1347632,AOS
20700,1419606,SEI INSTITUTIONAL INVESTMENTS TRUST,2022-04-29,20700,1419606,AOS
20542,1200269,BLACKROCK FUNDS,2022-06-27,20542,1200269,AOS
20100,1284189,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2022-05-26,20100,1284189,AOS
19958,1275117,SPDR SERIES TRUST,2022-05-27,19958,1275117,AOS
19769,1263041,OPTIMUM FUND TRUST,2022-05-19,19769,1263041,AOS
19297,1232885,TIMOTHY PLAN,2022-05-25,19297,1232885,AOS
18964,1211610,JNL SERIES TRUST,2022-05-25,18964,1211610,AOS
18953,1210907,NORTHWESTERN MUTUAL SERIES FUND INC,2022-05-24,18953,1210907,AOS
18819,893903,STONE RIDGE TRUST,2020-07-30,18819,893903,AOS
18553,883865,"AB CAP FUND, INC.",2020-02-10,18553,883865,AOS
18236,1165098,THRIVENT SERIES FUND INC,2022-05-27,18236,1165098,AOS
18174,1161137,Voya VARIABLE PORTFOLIOS INC,2022-05-26,18174,1161137,AOS
18091,1155834,Victory Portfolios II,2022-05-25,18091,1155834,AOS
17500,1118075,GABELLI EQUITY SERIES FUNDS INC,2022-05-31,17500,1118075,AOS
17385,1015806,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,17385,1015806,AOS
17264,1008736,Dimensional ETF Trust,2022-06-27,17264,1008736,AOS
16958,1295930,FRANKLIN FUND ALLOCATOR SERIES,2022-03-24,16958,1295930,AOS
16936,989570,EATON VANCE MUTUAL FUNDS TRUST,2022-06-29,16936,989570,AOS
16776,1150498,VANGUARD SCOTTSDALE FUNDS,2022-04-29,16776,1150498,AOS
16700,1066963,VARIABLE INSURANCE PRODUCTS FUND III,2022-05-25,16700,1066963,AOS
16445,960881,OLD WESTBURY FUNDS INC,2022-06-29,16445,960881,AOS
16217,1036104,GuideStone Funds,2022-05-25,16217,1036104,AOS
16212,1035785,MUTUAL OF AMERICA INVESTMENT CORP,2022-05-09,16212,1035785,AOS
15973,1020515,HC CAPITAL TRUST,2022-05-25,15973,1020515,AOS
15825,1085279,AMERICAN CENTURY ETF TRUST,2022-04-25,15825,1085279,AOS
15633,998792,Voya VARIABLE PORTFOLIOS INC,2022-05-26,15633,998792,AOS
15325,979114,JOHN HANCOCK VARIABLE INSURANCE TRUST,2022-05-26,15325,979114,AOS
15141,967358,JNL SERIES TRUST,2022-05-25,15141,967358,AOS
15040,878787,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,15040,878787,AOS
15025,1030415,John Hancock Funds II,2022-04-27,15025,1030415,AOS
14887,869847,World Funds Trust,2022-06-27,14887,869847,AOS
14802,945700,PACIFIC SELECT FUND,2022-05-27,14802,945700,AOS
14687,626988,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUTUAL FUNDS),2020-03-31,14687,626988,AOS
14623,624256,Janus Detroit Street Trust,2020-03-25,14623,624256,AOS
14603,853253,FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND,2022-06-24,14603,853253,AOS
14313,914458,GREAT-WEST FUNDS INC,2022-05-20,14313,914458,AOS
14233,909346,AQR Funds,2022-05-26,14233,909346,AOS
14077,822519,FIDELITY SALEM STREET TRUST,2022-06-24,14077,822519,AOS
13850,884877,BOSTON TRUST WALDEN FUNDS,2022-05-25,13850,884877,AOS
13792,881171,Franklin Templeton ETF Trust,2022-05-10,13792,881171,AOS
13612,795349,FIDELITY SALEM STREET TRUST,2022-06-24,13612,795349,AOS
13507,636450,ICON FUNDS,2020-08-27,13507,636450,AOS
13400,856126,PUTNAM ASSET ALLOCATION FUNDS,2022-05-25,13400,856126,AOS
13365,916572,PROSHARES TRUST,2022-04-28,13365,916572,AOS
13271,847884,SEI INSTITUTIONAL MANAGED TRUST,2022-05-26,13271,847884,AOS
13000,686400,SCM Trust,2020-11-27,13000,686400,AOS
12928,931592,AMERICAN CENTURY VARIABLE PORTFOLIOS INC,2021-08-24,12928,931592,AOS
80,27440,Procure ETF Trust I,2022-03-09,80,27440,MCO
79,30081,Cavanal Hill Funds,2021-10-28,79,30081,MCO
78,26318,MORGAN STANLEY VARIABLE INSURANCE FUND INC.,2022-05-26,78,26318,MCO
75,25306,WILSHIRE MUTUAL FUNDS INC,2022-05-25,75,25306,MCO
75,23736,ProFunds,2022-06-27,75,23736,MCO
73,24481,"BMO FUNDS, INC.",2021-07-26,73,24481,MCO
72,22787,Advisors' Inner Circle Fund III,2022-06-28,72,22787,MCO
68,26559,Lattice Strategies Trust,2022-02-23,68,26559,MCO
68,22944,Brighthouse Funds Trust I,2022-05-26,68,22944,MCO
68,21898,PROSHARES TRUST,2022-04-28,68,21898,MCO
67,22606,PIMCO Equity Series,2022-05-27,67,22606,MCO
67,21204,MFS SERIES TRUST XV,2022-06-24,67,21204,MCO
66,22269,IVY FUNDS,2022-05-19,66,22269,MCO
61,19644,Goldman Sachs ETF Trust,2022-04-26,61,19644,MCO
60,20580,Goldman Sachs Trust II,2022-03-25,60,20580,MCO
54,17090,ProFunds,2022-06-27,54,17090,MCO
54,14835,PACIFIC FUNDS SERIES TRUST,2020-08-26,54,14835,MCO
51,17208,FIRST TRUST EXCHANGE-TRADED FUND,2022-05-26,51,17208,MCO
51,16140,Arrow Investments Trust,2022-06-28,51,16140,MCO
49,15508,BlackRock ETF Trust,2022-06-27,49,15508,MCO
44,12423,Global Beta ETF Trust,2021-01-07,44,12423,MCO
43,14509,"Mutual of America Variable Insurance Portfolios, Inc.",2022-05-09,43,14509,MCO
43,12464,Mutual Fund & Variable Insurance Trust,2020-11-25,43,12464,MCO
40,13496,LAZARD FUNDS INC,2022-05-27,40,13496,MCO
38,12822,"BlackRock Series Fund, Inc.",2022-05-25,38,12822,MCO
36,10127,FIDELITY SECURITIES FUND,2020-09-16,36,10127,MCO
35,12005,NEUBERGER BERMAN ALTERNATIVE FUNDS,2022-03-30,35,12005,MCO
31,9811,Natixis Funds Trust IV,2022-06-29,31,9811,MCO
30,9494,Natixis Funds Trust IV,2022-06-29,30,9494,MCO
30,9494,Natixis Funds Trust IV,2022-06-29,30,9494,MCO
28,9017,Horizon Funds,2022-04-21,28,9017,MCO
28,8861,Natixis Funds Trust IV,2022-06-29,28,8861,MCO
28,8861,Natixis Funds Trust IV,2022-06-29,28,8861,MCO
27,8545,IndexIQ ETF Trust,2022-06-27,27,8545,MCO
25,8051,SARATOGA ADVANTAGE TRUST,2022-04-22,25,8051,MCO
25,5288,Guggenheim Variable Funds Trust,2020-06-01,25,5288,MCO
24,7596,Natixis Funds Trust IV,2022-06-29,24,7596,MCO
23,7760,SPDR INDEX SHARES FUNDS,2022-05-27,23,7760,MCO
22,6377,MUTUAL OF AMERICA INSTITUTIONAL FUNDS INC,2020-11-24,22,6377,MCO
21,6763,PROSHARES TRUST,2022-04-28,21,6763,MCO
21,7086,Virtus Strategy Trust,2022-05-20,21,7086,MCO
19,6885,Weiss Strategic Interval Fund,2021-08-19,19,6885,MCO
19,6411,MUTUAL OF AMERICA INVESTMENT CORP,2022-05-09,19,6411,MCO
18,6073,MASSMUTUAL SELECT FUNDS,2022-05-27,18,6073,MCO
17,5380,Global X Funds,2022-06-29,17,5380,MCO
16,4398,PUTNAM ASSET ALLOCATION FUNDS,2021-04-28,16,4398,MCO
16,5064,Natixis Funds Trust IV,2022-06-29,16,5064,MCO
13,4114,Global X Funds,2022-06-29,13,4114,MCO
13,4114,Natixis Funds Trust IV,2022-06-29,13,4114,MCO
12,3798,Nushares ETF Trust,2022-06-29,12,3798,MCO
11,3712,FundVantage Trust,2022-05-26,11,3712,MCO
10,3165,BlackRock ETF Trust,2022-06-27,10,3165,MCO
10,3220,FIDELITY MT VERNON STREET TRUST,2022-04-27,10,3220,MCO
8,2532,Pacer Funds Trust,2022-06-29,8,2532,MCO
8,2532,Natixis Funds Trust IV,2022-06-29,8,2532,MCO
7,2254,PROSHARES TRUST,2022-04-28,7,2254,MCO
7,2215,Natixis Funds Trust IV,2022-06-29,7,2215,MCO
6,1899,AIM INVESTMENT FUNDS (INVESCO INVESTMENT FUNDS),2022-06-29,6,1899,MCO
6,1899,Natixis Funds Trust IV,2022-06-29,6,1899,MCO
5,1687,Manager Directed Portfolios,2022-05-18,5,1687,MCO
4,1179,FIRST TRUST EXCHANGE-TRADED FUND VIII,2020-10-28,4,1179,MCO
-24,-8098,AGF Investments Trust,2022-05-11,-24,-8098,MCO
-300,-94944,GLENMEDE FUND INC,2022-06-06,-300,-94944,MCO
-600,-122898,Blackstone Alternative Investment Funds,2019-11-26,-600,-122898,MCO
-668,-136826,Meeder Funds,2019-11-26,-668,-136826,MCO
-771,-230228,VELA Funds,2021-05-27,-771,-230228,MCO
-1150,-388022,Legg Mason Global Asset Management Trust,2022-05-20,-1150,-388022,MCO
-2122,-671571,JPMorgan Trust I,2022-06-28,-2122,-671571,MCO
4543747,1533105675,VANGUARD INDEX FUNDS,2022-05-31,4543747,1533105675,MCO
3539565,1194284627,VANGUARD INDEX FUNDS,2022-05-31,3539565,1194284627,MCO
1757050,592846241,SPDR SP 500 ETF TRUST,2022-05-27,1757050,592846241,MCO
1752058,591161890,SELECT SECTOR SPDR TRUST,2022-05-27,1752058,591161890,MCO
1609593,543092774,NEW PERSPECTIVE FUND,2022-05-27,1609593,543092774,MCO
1255235,423528841,VANGUARD INDEX FUNDS,2022-05-31,1255235,423528841,MCO
1212254,409026622,VANGUARD INSTITUTIONAL INDEX FUNDS,2022-05-31,1212254,409026622,MCO
1155403,389844526,FIDELITY MAGELLAN FUND,2022-05-25,1155403,389844526,MCO
990107,313349063,VANGUARD SPECIALIZED FUNDS,2022-06-29,990107,313349063,MCO
853110,274727013,MFS SERIES TRUST I,2022-04-26,853110,274727013,MCO
732693,247217945,AMERICAN FUNDS FUNDAMENTAL INVESTORS,2022-05-27,732693,247217945,MCO
671788,212607466,"PRINCIPAL FUNDS, INC.",2022-06-24,671788,212607466,MCO
661559,209370192,FIDELITY INVESTMENT TRUST,2022-06-24,661559,209370192,MCO
541992,171529628,WASHINGTON MUTUAL INVESTORS FUND,2022-06-24,541992,171529628,MCO
520050,164585424,MAINSTAY FUNDS,2022-06-28,520050,164585424,MCO
510785,172343967,FIRST TRUST EXCHANGE-TRADED FUND,2022-05-26,510785,172343967,MCO
473451,133674155,FIDELITY PURITAN TRUST,2021-01-20,473451,133674155,MCO
462041,148791063,GROWTH FUND OF AMERICA,2022-05-19,462041,148791063,MCO
423622,142934299,VANGUARD HORIZON FUNDS,2022-05-31,423622,142934299,MCO
419123,134970180,VANGUARD WORLD FUND,2022-04-29,419123,134970180,MCO
373579,120303645,CAPITAL WORLD GROWTH  INCOME FUND,2022-05-19,373579,120303645,MCO
350000,118093500,Franklin Custodian Funds,2022-05-23,350000,118093500,MCO
341800,108172864,FIDELITY INVESTMENT TRUST,2022-06-24,341800,108172864,MCO
329871,111301774,HARRIS ASSOCIATES INVESTMENT TRUST,2022-05-25,329871,111301774,MCO
327321,110441379,AMERICAN FUNDS INSURANCE SERIES,2022-05-27,327321,110441379,MCO
324385,126698293,FIDELITY CONTRAFUND,2022-02-24,324385,126698293,MCO
311726,98655044,FIDELITY SALEM STREET TRUST,2022-06-24,311726,98655044,MCO
308607,99380712,MASSACHUSETTS INVESTORS GROWTH STOCK FUND,2022-04-26,308607,99380712,MCO
303448,96035223,FIDELITY ADVISOR SERIES VIII,2022-06-24,303448,96035223,MCO
293027,92737185,SCHWAB CAPITAL TRUST,2022-06-24,293027,92737185,MCO
270102,91135116,TAX-MANAGED GROWTH PORTFOLIO,2022-05-27,270102,91135116,MCO
263689,88971305,SEI INSTITUTIONAL MANAGED TRUST,2022-05-26,263689,88971305,MCO
262050,82933584,NEW WORLD FUND INC,2022-06-24,262050,82933584,MCO
220949,69925940,CARILLON SERIES TRUST,2022-06-28,220949,69925940,MCO
218900,69277472,FIDELITY INVESTMENT TRUST,2022-06-24,218900,69277472,MCO
217900,68960992,FIDELITY INVESTMENT TRUST,2022-06-24,217900,68960992,MCO
213067,67431444,FIDELITY INVESTMENT TRUST,2022-06-24,213067,67431444,MCO
194000,61397120,FIDELITY CAPITAL TRUST,2022-06-24,194000,61397120,MCO
176196,59450292,CALVERT SOCIAL INVESTMENT FUND,2022-05-27,176196,59450292,MCO
170716,57601286,COLLEGE RETIREMENT EQUITIES FUND,2022-05-26,170716,57601286,MCO
163649,55216809,VANGUARD INDEX FUNDS,2022-05-31,163649,55216809,MCO
162389,34345274,John Hancock Funds III,2020-05-29,162389,34345274,MCO
148300,40766187,FIDELITY FINANCIAL TRUST,2021-04-23,148300,40766187,MCO
143000,48249630,VARIABLE INSURANCE PRODUCTS FUND II,2022-05-25,143000,48249630,MCO
138058,44458818,SCHWAB STRATEGIC TRUST,2022-04-25,138058,44458818,MCO
137920,44414378,Goldman Sachs ETF Trust,2022-04-26,137920,44414378,MCO
137583,46421880,MASTER INVESTMENT PORTFOLIO,2022-05-26,137583,46421880,MCO
134300,38926855,VARIABLE INSURANCE PRODUCTS FUND III,2020-11-23,134300,38926855,MCO
131283,42277064,SCHWAB STRATEGIC TRUST,2022-04-25,131283,42277064,MCO
130100,26648383,"T. Rowe Price Blue Chip Growth Fund, Inc.",2019-11-27,130100,26648383,MCO
129006,40827819,TIAA-CREF FUNDS,2022-06-28,129006,40827819,MCO
128506,43359209,"T. Rowe Price Index Trust, Inc.",2022-05-27,128506,43359209,MCO
126000,42513660,FIDELITY HASTINGS STREET TRUST,2022-05-25,126000,42513660,MCO
121064,40848204,MORGAN STANLEY INSTITUTIONAL FUND INC,2022-05-26,121064,40848204,MCO
118408,39952043,VANGUARD VALLEY FORGE FUNDS,2022-05-31,118408,39952043,MCO
116753,36949989,American Funds Global Insight Fund,2022-06-24,116753,36949989,MCO
115438,37174499,VANGUARD WORLD FUND,2022-04-29,115438,37174499,MCO
113811,36018905,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,113811,36018905,MCO
112617,37998102,"AB CAP FUND, INC.",2022-05-27,112617,37998102,MCO
112571,35626470,DFA INVESTMENT DIMENSIONS GROUP INC,2022-06-28,112571,35626470,MCO
108928,36753396,BAILLIE GIFFORD FUNDS,2022-05-25,108928,36753396,MCO
105880,35724971,VANGUARD INSTITUTIONAL INDEX FUNDS,2022-05-31,105880,35724971,MCO
103999,35090303,MFS SERIES TRUST V,2022-05-25,103999,35090303,MCO
102500,33008075,FIDELITY SELECT PORTFOLIOS,2022-04-27,102500,33008075,MCO
102000,32280960,FIDELITY INVESTMENT TRUST,2022-06-24,102000,32280960,MCO
97232,30771983,iSHARES TRUST,2022-06-27,97232,30771983,MCO
95000,32053950,SCHWARTZ INVESTMENT TRUST,2022-05-24,95000,32053950,MCO
94977,32046190,JNL SERIES TRUST,2022-05-25,94977,32046190,MCO
92997,31378118,MASTER INVESTMENT PORTFOLIO,2022-05-26,92997,31378118,MCO
92063,27490932,VIRTUS EQUITY TRUST,2021-05-27,92063,27490932,MCO
90922,28774995,iSHARES TRUST,2022-06-27,90922,28774995,MCO
87761,27774601,iSHARES TRUST,2022-06-27,87761,27774601,MCO
86164,29072595,COLLEGE RETIREMENT EQUITIES FUND,2022-05-26,86164,29072595,MCO
85090,28710217,COLLEGE RETIREMENT EQUITIES FUND,2022-05-26,85090,28710217,MCO
85002,28680525,Brown Advisory Funds,2022-05-26,85002,28680525,MCO
82431,26087763,HARTFORD MUTUAL FUNDS INC/CT,2022-06-27,82431,26087763,MCO
81242,26162361,SCHWAB STRATEGIC TRUST,2022-04-25,81242,26162361,MCO
80000,26992800,"ADAMS DIVERSIFIED EQUITY FUND, INC.",2022-05-27,80000,26992800,MCO
78728,26563614,SPDR SERIES TRUST,2022-05-27,78728,26563614,MCO
78711,26557879,Six Circles Trust,2022-05-31,78711,26557879,MCO
78017,25123815,VANGUARD SCOTTSDALE FUNDS,2022-04-29,78017,25123815,MCO
77524,24534796,VANGUARD INTERNATIONAL EQUITY INDEX FUNDS,2022-06-29,77524,24534796,MCO
77427,26124644,VANGUARD TAX-MANAGED FUNDS,2022-05-31,77427,26124644,MCO
77084,24395544,TIAA-CREF FUNDS,2022-06-28,77084,24395544,MCO
12700,811403,PUTNAM ASSET ALLOCATION FUNDS,2022-05-25,12700,811403,AOS
12653,808400,THRIVENT SERIES FUND INC,2022-05-27,12653,808400,AOS
12404,724766,iSHARES TRUST,2022-06-27,12404,724766,AOS
12335,845934,COLUMBIA FUNDS SERIES TRUST,2022-04-25,12335,845934,AOS
12212,713547,Advisors' Inner Circle Fund III,2022-06-29,12212,713547,AOS
12128,774858,MAINSTAY VP FUNDS TRUST,2022-05-27,12128,774858,AOS
12081,771855,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2022-05-26,12081,771855,AOS
12001,811388,Guggenheim Enhanced Equity Income Fund,2021-05-27,12001,811388,AOS
12000,571680,Highland Funds I,2020-02-28,12000,571680,AOS
11977,699816,FIRST TRUST EXCHANGE-TRADED ALPHADEX FUND,2022-06-24,11977,699816,AOS
11826,864126,COLUMBIA FUNDS SERIES TRUST I,2021-12-23,11826,864126,AOS
11818,690526,TRANSAMERICA FUNDS,2022-06-27,11818,690526,AOS
11664,681528,"AB BOND FUND, INC.",2022-06-24,11664,681528,AOS
11623,679132,J.P. Morgan Exchange-Traded Fund Trust,2022-06-28,11623,679132,AOS
11567,675860,SCHWAB CAPITAL TRUST,2022-06-24,11567,675860,AOS
11556,675217,Catholic Responsible Investments Funds,2022-06-28,11556,675217,AOS
11436,668205,TrimTabs ETF Trust,2022-06-29,11436,668205,AOS
11422,729752,MASSMUTUAL SELECT FUNDS,2022-05-27,11422,729752,AOS
11021,643957,SUNAMERICA SERIES TRUST,2022-06-29,11021,643957,AOS
10894,696018,SPDR SERIES TRUST,2022-05-27,10894,696018,AOS
10891,746905,VANGUARD ADMIRAL FUNDS,2022-04-29,10891,746905,AOS
10666,915676,EQ ADVISORS TRUST,2022-06-08,10666,915676,AOS
10393,664009,ETF Managers Trust,2022-05-27,10393,664009,AOS
10387,663625,"BNY MELLON STOCK INDEX FUND, INC.",2022-05-26,10387,663625,AOS
10237,702053,GUGGENHEIM STRATEGIC OPPORTUNITIES FUND,2022-04-28,10237,702053,AOS
10177,650209,"BlackRock Advantage SMID Cap Fund, Inc.",2022-05-27,10177,650209,AOS
10075,643692,PRINCIPAL VARIABLE CONTRACTS FUNDS INC,2022-05-25,10075,643692,AOS
10072,690738,"iShares, Inc.",2022-04-26,10072,690738,AOS
10045,641775,HC CAPITAL TRUST,2022-05-25,10045,641775,AOS
9984,583365,BLACKROCK FUNDS,2022-06-27,9984,583365,AOS
9955,636025,JNL SERIES TRUST,2022-05-25,9955,636025,AOS
9887,465875,DEUTSCHE DWS VARIABLE SERIES II,2020-08-26,9887,465875,AOS
9850,675513,PROSHARES TRUST,2022-04-28,9850,675513,AOS
9829,627975,Lattice Strategies Trust,2022-05-25,9829,627975,AOS
9763,623758,ALLIANZ VARIABLE INSURANCE PRODUCTS TRUST,2022-05-25,9763,623758,AOS
9700,457064,ICON FUNDS,2020-08-27,9700,457064,AOS
9652,661934,Voya EQUITY TRUST,2022-04-25,9652,661934,AOS
9606,561279,"BNY Mellon Investment Funds IV, Inc.",2022-06-28,9606,561279,AOS
9455,648424,THOMPSON IM FUNDS INC,2022-04-28,9455,648424,AOS
9417,638002,Thrivent Core Funds,2021-06-29,9417,638002,AOS
9350,597372,Voya VARIABLE PORTFOLIOS INC,2022-05-26,9350,597372,AOS
9300,594177,"T. Rowe Price Index Trust, Inc.",2022-05-27,9300,594177,AOS
9161,535277,J.P. Morgan Exchange-Traded Fund Trust,2022-06-28,9161,535277,AOS
9080,530544,iSHARES TRUST,2022-06-27,9080,530544,AOS
9028,576799,NATIONWIDE VARIABLE INSURANCE TRUST,2022-05-19,9028,576799,AOS
9000,575010,LINCOLN VARIABLE INSURANCE PRODUCTS TRUST,2022-05-26,9000,575010,AOS
8970,573093,SA FUNDS INVESTMENT TRUST,2022-05-26,8970,573093,AOS
8656,629464,Franklin Alternative Strategies Funds,2021-10-28,8656,629464,AOS
8624,472768,Collaborative Investment Series Trust,2021-03-01,8624,472768,AOS
8525,605872,EXCHANGE TRADED CONCEPTS TRUST,2021-07-28,8525,605872,AOS
8454,540126,Brighthouse Funds Trust I,2022-05-26,8454,540126,AOS
8226,556160,"Keeley Funds, Inc.",2021-05-27,8226,556160,AOS
