date,fullName,issuerCik,netTransacted,reportedTitle,symbol,totalBought,totalSold
2023-03-05,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-04,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-03-03,SZKUTAK THOMAS J,0001018724,599375,Senior Vice President and CFO,AMZN,1058317,-458942
2023-03-02,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-03-01,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-28,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-27,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-02-26,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-25,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-02-24,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-23,BREWER ROSALIND G,0001018724,1710,,AMZN,1710,
2023-02-22,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-21,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-20,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-02-19,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-18,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-17,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-16,SZKUTAK THOMAS J,0001018724,599375,Senior Vice President and CFO,AMZN,1058317,-458942
2023-02-15,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-02-14,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-02-13,COOPER EDITH W,0001018724,285,,AMZN,285,
2023-02-12,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-11,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-10,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-02-09,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-08,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-07,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-02-06,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-05,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-02-04,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-02-03,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-02-02,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-02-01,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-31,BEZOS JEFFREY P,0001018724,-34587318,"Chairman, CEO and President",AMZN,,-34587318
2023-01-30,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-29,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-28,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-27,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-26,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-25,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-24,SZKUTAK THOMAS J,0001018724,599375,Senior Vice President and CFO,AMZN,1058317,-458942
2023-01-23,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-22,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-21,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-20,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-19,Clark David H,0001018724,,Senior Vice President,AMZN,,
2023-01-18,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-17,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-16,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-15,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-14,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-13,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-12,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-11,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-10,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-09,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-08,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-07,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-06,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-05,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-04,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-03,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2023-01-02,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2023-01-01,SZKUTAK THOMAS J,0001018724,599375,Senior Vice President and CFO,AMZN,1058317,-458942
2022-12-31,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-30,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-29,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-28,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-27,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-26,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-25,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-24,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-23,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-21,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-22,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-20,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-19,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-18,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-17,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-16,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-15,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-14,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-13,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-12,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-11,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-08,LAKE CHARLES D II,0000004977,178320,Vice Chairman - Aflac Japan,AFL,295684,-117364
2022-12-07,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-12-09,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-12-06,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-12-05,KIRSCH ERIC M,0000004977,67502,Sr Vice President,AFL,67502,
2022-12-04,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-12-03,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-12-02,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-12-01,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-30,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-29,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-11-28,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-27,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-11-26,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-25,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-24,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-23,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-22,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-21,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-11-20,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-11-19,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-18,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-17,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-11-16,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-11-15,JANKE KENNETH S JR,0000004977,5304,"President, Aflac US &",AFL,71351,-66047
2022-11-14,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-13,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-12,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-11,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-11-10,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-11-09,Mori Nobuchika,0000004977,13010,,AFL,13010,
2022-11-08,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-07,BLANCK SUSAN RYNEARSON,0000004977,137512,Executive Vice President,AFL,190980,-53468
2022-11-06,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-05,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-04,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-03,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-27,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-10-26,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-25,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-10-24,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-10-23,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-22,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-11-02,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-11-01,KIRSCH ERIC M,0000004977,67502,Sr Vice President,AFL,67502,
2022-10-31,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-30,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-29,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-28,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-15,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-14,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-13,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-10-12,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-10-11,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-10-10,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-10-21,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-20,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-10-19,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-18,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-17,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-10-16,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-09,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-08,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-07,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-10-06,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-10-05,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-10-04,LAKE CHARLES D II,0000004977,-68401,"Chairman & Rep. Director, ALIJ",AFL,81040,-149441
2022-10-03,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-10-02,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-10-01,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-30,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-09-29,KIRSCH ERIC M,0000004977,67502,Sr Vice President,AFL,67502,
2022-09-28,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-27,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-26,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-09-25,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-24,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-23,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-22,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-09-21,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-20,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-09-19,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-09-18,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-17,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-16,KIRSCH ERIC M,0000004977,67502,Sr Vice President,AFL,67502,
2022-09-15,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-09-14,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-13,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-12,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-11,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-10,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-09,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-09-08,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-07,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-06,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-09-05,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-04,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-09-03,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-09-02,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-09-01,KIRSCH ERIC M,0000004977,67502,Sr Vice President,AFL,67502,
2022-08-31,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-08-30,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-29,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-08-28,KIRSCH ERIC M,0000004977,67502,Sr Vice President,AFL,67502,
2022-08-27,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-08-26,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-25,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-24,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-23,AMOS PAUL S II,0000004977,-569533,"President, Aflac",AFL,984538,-1554071
2022-08-22,JANKE KENNETH S JR,0000004977,52546,Sr. Vice-President,AFL,110000,-57454
2022-08-21,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-20,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-08-19,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-08-18,ROGERS RALPH ARNOLD JR,0000004977,67749,Sr. Vice President,AFL,109589,-41840
2022-08-17,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-16,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-15,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-08-14,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-13,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-08-12,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-11,YAMAUCHI HIROSHI,0000004977,163833,First Sr VP - Aflac Japan,AFL,234833,-71000
2022-08-10,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-08-09,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-08-06,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-08-05,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-04,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-03,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-02,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-08-01,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-31,JOHNSON DOUGLAS WAYNE,0000004977,175338,,AFL,213004,-37666
2022-07-30,KIRSCH ERIC M,0000004977,67502,Sr Vice President,AFL,67502,
2022-07-29,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-28,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-27,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-07-26,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-07-25,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-24,Davis Rebecca Colwell,0000004977,-750,Exec. Vice President,AFL,,-750
2022-07-23,YOSHIDA TAKURO,0000004977,36851,,AFL,36851,
2022-07-22,LOUDERMILK JOEY M,0000004977,-5001,Exec. Vice President,AFL,8294,-13295
2022-07-21,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-20,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-19,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-18,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-17,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-16,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-07-15,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-14,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-13,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-07-12,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-11,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-10,WHITE TERESA L,0000004977,22887,Exec VP & COO,AFL,52819,-29932
2022-07-09,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
2022-07-08,KENNY THOMAS J,0000004977,121280,,AFL,191333,-70053
,KENNY THOMAS J,,121280,,AFL,191333,-70053
,KENNY THOMAS J,,121280,,AFL,191333,-70053
,JOHNSON DOUGLAS WAYNE,,175338,,AFL,213004,-37666
,KENNY THOMAS J,,121280,,AFL,191333,-70053
,KENNY THOMAS J,,121280,,AFL,191333,-70053
,KENNY THOMAS J,,121280,,AFL,191333,-70053
,WHITE TERESA L,,22887,Exec VP & COO,AFL,52819,-29932
2022-12-10,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-09,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-08,DOERR L JOHN,0001018724,16880,,AMZN,28334,-11454
2022-12-07,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-06,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-05,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-04,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
2022-12-03,McGrath Judith A,0001018724,9920,,AMZN,11672,-1752
2022-12-02,WILKE JEFFREY A,0001018724,-66146,CEO Worldwide Consumer,AMZN,314332,-380478
