address1,city,state,zip,country,phone,website,industry,industryDisp,sector,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio,Open,High,Low,Close,Volume,Dividends,Stock Splits,fax,address2,industrySymbol,Adj Close
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.66000366210938,71.83999633789062,70.58000183105469,71.11000061035156,7128100.0,0.0,0.0,,,,
6920 Seaway Boulevard,Everett,WA,98203,United States,425 446 5000,https://www.fortive.com,Scientific & Technical Instruments,Scientific & Technical Instruments,Technology,"Fortive Corporation designs, develops, manufactures, markets, and services professional and engineered products, software, and services worldwide. Intelligent Operating Solutions segment provides advanced instrumentation, software and services, which includes electrical test and measurement, facility and asset lifecycle software applications, and worker safety and compliance solutions for manufacturing, process industries, healthcare, utilities and power, communications and electronics, and other industries. Additionally, it markets its products and services under the ACCRUENT, FLUKE, GORDIAN, INDUSTRIAL SCIENTIFIC, INTELEX, PRUFTECHNIK, and SERVICECHANNEL brands. Its Precision Technologies segment provides electrical test & measurement, sensing and material technologies under the ANDERSON-NEGELE, GEMS, SETRA, HENGSTLER-DYNAPAR, QUALITROL, PACIFIC SCIENTIFIC, KEITHLEY, and TEKTRONIX brands for industrial, power and energy, automotive, medical equipment, food and beverage, aerospace and defense, semiconductor, and other general industries. Advanced Healthcare Solutions segment offers critical workflow solutions including instrument sterilization, instrument tracking, design and manufacture of cell therapy equipment, biomedical test tools, radiation detection and safety monitoring, and end-to-end clinical productivity software and solutions under the ASP, CENSIS, CENSITRAC, EVOTECH, FLUKE BIOMEDICAL, INVETECH, LANDAUER, PROVATION, RAYSAFE, and STERRAD brands. The company was incorporated in 2015 and is headquartered in Everett, Washington.",18000.0,"[{'maxAge': 1, 'name': 'Mr. James A. Lico', 'age': 56, 'title': 'Pres, CEO & Director', 'yearBorn': 1966, 'fiscalYear': 2022, 'totalPay': 5237379, 'exercisedValue': 0, 'unexercisedValue': 31879024}, {'maxAge': 1, 'name': 'Mr. Charles E. McLaughlin', 'age': 61, 'title': 'Sr. VP & CFO', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 2230810, 'exercisedValue': 795794, 'unexercisedValue': 5182518}, {'maxAge': 1, 'name': 'Ms. Stacey A. Walker', 'age': 51, 'title': 'Chief Human Resource Officer & Sr. VP', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 1482869, 'exercisedValue': 0, 'unexercisedValue': 1284609}, {'maxAge': 1, 'name': 'Mr. Patrick K. Murphy', 'age': 60, 'title': 'Pres & CEO of Advanced Healthcare Solutions', 'yearBorn': 1962, 'fiscalYear': 2022, 'totalPay': 1517602, 'exercisedValue': 1090139, 'unexercisedValue': 2489165}, {'maxAge': 1, 'name': 'Mr. Olumide  Soroye', 'age': 49, 'title': 'Pres & CEO of Intelligent Operating Solutions Segment', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 2541636, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Christopher M. Mulhall', 'age': 49, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1973, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Victor P. Fetter III', 'age': 53, 'title': 'Chief Information Officer', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Griffin  Whitney', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Peter C. Underwood', 'age': 52, 'title': 'Sr. VP & Gen. Counsel', 'yearBorn': 1970, 'fiscalYear': 2016, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Jonathan L. Schwarz', 'age': 50, 'title': 'Sr. VP of Corp. Devel.', 'yearBorn': 1972, 'exercisedValue': 0, 'unexercisedValue': 0}]",1.0,2.0,10.0,7.0,7.0,1685577600.0,1672444800.0,86400.0,2.0,71.5,71.12,70.705,71.59,71.5,71.12,70.705,71.59,0.28,0.0039,1684972800.0,0.1308,0.4,1.171478,33.280373,19.300814,1333902.0,1333902.0,2244450.0,1936890.0,1936890.0,0.0,0.0,800.0,900.0,25051066368.0,52.47,72.84,4.238831,66.3788,65.4231,0.28,0.003916084,USD,27706220544.0,0.12922,352662524.0,351742016.0,5421392.0,5268945.0,1682640000.0,1685491200.0,0.0153,0.00226,0.95931,2.18,0.0173,0.0,27.921,2.5507684,1672444800.0,1703980800.0,1680220800.0,0.051,763699968.0,2.14,3.69,2.93,1195:1000,1602201600.0,4.688,18.286,0.30034685,0.15015817,0.07,1684972800.0,NYQ,EQUITY,FTV,FTV,Fortive Corporation,Fortive Corporation,1467725400.0,America/New_York,EDT,1b517de9-8c4c-31b6-81b9-8e271cbed5f0,finmb_318505463,-14400000.0,71.22,87.0,63.0,73.74,75.0,2.1,buy,15.0,672800000.0,1.903,1515200000.0,3094400000.0,0.613,0.934,5909899776.0,31.333,16.649,0.041100003,0.07856,3363400000.0,1098174976.0,1262800000.0,0.082,0.061,0.57862,0.25638,0.17844999,USD,1.9745,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.12000274658203,71.58999633789062,70.70500183105469,71.22000122070312,1457100.0,0.0,0.0,,,,
1211 Avenue of the Americas,New York,NY,10036,United States,212 852 7000,https://www.foxcorporation.com,Entertainment,Entertainment,Communication Services,"Fox Corporation operates as a news, sports, and entertainment company in the United States (U.S.). The company operates through Cable Network Programming; Television; and Other, Corporate and Eliminations segments. The Cable Network Programming segment produces and licenses news, business news, and sports content for distribution through traditional and virtual multi-channel video programming distributors (MVPDs) and other digital platforms, primarily in the U.S. It operates FOX News, a national cable news channel; FOX Business, a business news national cable channel; FS1 and FS2 multi-sport national networks; FOX Sports Racing, a video programming service that comprises motor sports programming; FOX Soccer Plus, a video programming network for live soccer and rugby competitions; FOX Deportes, a Spanish-language sports programming service; and Big Ten Network, a national video programming service. The Television segment acquires, produces, markets, and distributes programming. It operates The FOX Network, a national television broadcast network that broadcasts sports programming and entertainment; Tubi, an advertising-supported video-on-demand service; Fox Alternative Entertainment, a full-service production studio that develops and produces unscripted and alternative programming; MyNetworkTV, a programming distribution service; and Blockchain Creative Labs, which is focuses on the creation, distribution and monetization of Web3 content. This segment owns and operates 29 broadcast television stations. The Other, Corporate and Eliminations segment owns the FOX Studios Lot that provides production and post-production services, including 15 sound stages, two broadcast studios, theaters and screening rooms, editing rooms, and other television and film production facilities in Los Angeles, California. The company was incorporated in 2018 and is based in New York, New York.",10600.0,"[{'maxAge': 1, 'name': 'Mr. Keith Rupert Murdoch AC', 'age': 91, 'title': 'Exec. Chairman', 'yearBorn': 1931, 'fiscalYear': 2022, 'totalPay': 11461059, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Lachlan Keith Murdoch', 'age': 51, 'title': 'Exec. Chairman & CEO', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 10786857, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Steven Silvester Tomsic', 'age': 53, 'title': 'Chief Financial Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 4143756, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John P. Nallen', 'age': 65, 'title': 'Chief Operating Officer', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 5240073, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Viet D. Dinh', 'age': 54, 'title': 'Chief Legal & Policy Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 6206848, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Gabrielle  Brown', 'title': 'Exec. VP & Chief Investor Relations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nicholas  Trutanich', 'title': 'Exec. VP of Litigation, Chief Ethics & Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Brian  Nick', 'title': 'Chief Communications Officer & Exec. VP', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Marianne  Gambelli', 'title': 'Pres of Advter. Sales, Marketing & Brand Partnerships', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kevin E. Lord', 'age': 59, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}]",2.0,6.0,6.0,10.0,10.0,1685577600.0,1672444800.0,86400.0,2.0,33.25,33.25,33.01,33.445,33.25,33.25,33.01,33.445,0.5,0.0149,1677542400.0,0.2336,,0.861308,15.509344,10.7411,3628869.0,3628869.0,3968537.0,5100650.0,5100650.0,0.0,0.0,800.0,1800.0,16240995328.0,28.015,37.26,1.0889765,32.4676,32.33725,0.5,0.015037594,USD,21089918976.0,0.078449994,398885698.0,269056992.0,18378417.0,19612619.0,1682640000.0,1685491200.0,0.0364,0.01672,1.032,4.36,0.1007,0.0,20.124,1.6492743,1656547200.0,1688083200.0,1680220800.0,,1170000000.0,2.14,3.09,0.99,,,1.414,6.572,0.034923553,0.15015817,0.25,1677542400.0,NMS,EQUITY,FOXA,FOXA,Fox Corporation,Fox Corporation,1552397400.0,America/New_York,EDT,988101dd-4716-3ab5-b819-816698ffba57,finmb_546623668,-14400000.0,33.19,44.0,28.0,35.75,35.0,2.8,hold,20.0,4145999872.0,8.216,3208999936.0,8216999936.0,1.565,1.754,14913999872.0,78.594,27.517,0.07841,0.10912,4857000000.0,2488375040.0,2240000000.0,,0.182,0.35457,0.21517,0.1868,USD,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.25,33.44499969482422,33.0099983215332,33.189998626708984,3758900.0,0.0,0.0,,,,
1211 Avenue of the Americas,New York,NY,10036,United States,212 852 7000,https://www.foxcorporation.com,Entertainment,Entertainment,Communication Services,"Fox Corporation operates as a news, sports, and entertainment company in the United States (U.S.). The company operates through Cable Network Programming; Television; and Other, Corporate and Eliminations segments. The Cable Network Programming segment produces and licenses news, business news, and sports content for distribution through traditional and virtual multi-channel video programming distributors (MVPDs) and other digital platforms, primarily in the U.S. It operates FOX News, a national cable news channel; FOX Business, a business news national cable channel; FS1 and FS2 multi-sport national networks; FOX Sports Racing, a video programming service that comprises motor sports programming; FOX Soccer Plus, a video programming network for live soccer and rugby competitions; FOX Deportes, a Spanish-language sports programming service; and Big Ten Network, a national video programming service. The Television segment acquires, produces, markets, and distributes programming. It operates The FOX Network, a national television broadcast network that broadcasts sports programming and entertainment; Tubi, an advertising-supported video-on-demand service; Fox Alternative Entertainment, a full-service production studio that develops and produces unscripted and alternative programming; MyNetworkTV, a programming distribution service; and Blockchain Creative Labs, which is focuses on the creation, distribution and monetization of Web3 content. This segment owns and operates 29 broadcast television stations. The Other, Corporate and Eliminations segment owns the FOX Studios Lot that provides production and post-production services, including 15 sound stages, two broadcast studios, theaters and screening rooms, editing rooms, and other television and film production facilities in Los Angeles, California. The company was incorporated in 2018 and is based in New York, New York.",10600.0,"[{'maxAge': 1, 'name': 'Mr. Keith Rupert Murdoch AC', 'age': 91, 'title': 'Exec. Chairman', 'yearBorn': 1931, 'fiscalYear': 2022, 'totalPay': 11461059, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Lachlan Keith Murdoch', 'age': 51, 'title': 'Exec. Chairman & CEO', 'yearBorn': 1971, 'fiscalYear': 2022, 'totalPay': 10786857, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Steven Silvester Tomsic', 'age': 53, 'title': 'Chief Financial Officer', 'yearBorn': 1969, 'fiscalYear': 2022, 'totalPay': 4143756, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. John P. Nallen', 'age': 65, 'title': 'Chief Operating Officer', 'yearBorn': 1957, 'fiscalYear': 2022, 'totalPay': 5240073, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Viet D. Dinh', 'age': 54, 'title': 'Chief Legal & Policy Officer', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 6206848, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Gabrielle  Brown', 'title': 'Exec. VP & Chief Investor Relations Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Nicholas  Trutanich', 'title': 'Exec. VP of Litigation, Chief Ethics & Compliance Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Brian  Nick', 'title': 'Chief Communications Officer & Exec. VP', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Marianne  Gambelli', 'title': 'Pres of Advter. Sales, Marketing & Brand Partnerships', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Kevin E. Lord', 'age': 59, 'title': 'Exec. VP & Chief HR Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}]",2.0,6.0,6.0,10.0,10.0,1685577600.0,1672444800.0,86400.0,2.0,31.09,31.15,30.85,31.2,31.09,31.15,30.85,31.2,0.5,0.0159,1677542400.0,0.2336,,0.861308,14.5,13.204256,723222.0,723222.0,1240506.0,1152700.0,1152700.0,0.0,0.0,900.0,1000.0,16238929920.0,26.35,34.42,1.088838,30.0328,30.069925,0.5,0.01608234,USD,19999903744.0,0.078449994,398885698.0,235580992.0,3066453.0,2250087.0,1682640000.0,1685491200.0,0.0061000003,0.43157002,0.5326,2.01,0.0232,0.0,20.124,1.54194,1656547200.0,1688083200.0,1680220800.0,,1170000000.0,2.14,2.35,2.72,,,1.341,6.232,0.04583752,0.15015817,0.25,1677542400.0,NMS,EQUITY,FOX,FOX,Fox Corporation,Fox Corporation,1552483800.0,America/New_York,EDT,1cbdb804-3b37-37c9-8a83-582f9218c8b4,finmb_546623668,-14400000.0,31.03,51.5,51.5,51.5,51.5,,none,1.0,4145999872.0,8.216,3208999936.0,8216999936.0,1.565,1.754,14913999872.0,78.594,27.517,0.07841,0.10912,4857000000.0,2488375040.0,2240000000.0,,0.182,0.35457,0.21517,0.1868,USD,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.149999618530273,31.209999084472656,30.84000015258789,31.030000686645508,751400.0,0.0,0.0,,,,
One Franklin Parkway,San Mateo,CA,94403,United States,650-312-2000,https://www.franklinresources.com,Asset Management,Asset Management,Financial Services,"Franklin Resources, Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides its services to individuals, institutions, pension plans, trusts, and partnerships. It launches equity, fixed income, balanced, and multi-asset mutual funds through its subsidiaries. The firm invests in the public equity, fixed income, and alternative markets. Franklin Resources, Inc. was founded in 1947 and is based in San Mateo, California with an additional office in Calgary, Canada; Dubai, United Arab Emirates; Edinburgh, United Kingdom; Fort Lauderdale, United States; Hyderabad, India; London, United Kingdom; Rancho Cordova, United states; Shanghai, China; Singapore; Stamford, United States; and Vienna, Austria.",9200.0,"[{'maxAge': 1, 'name': 'Mr. Gregory Eugene Johnson CPA, CPA', 'age': 61, 'title': 'Exec. Chairman', 'yearBorn': 1961, 'fiscalYear': 2022, 'totalPay': 1971482, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Jennifer M. Johnson', 'age': 58, 'title': 'Pres, CEO & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 4576140, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Rupert Harris Johnson Jr.', 'age': 82, 'title': 'Vice Chairman', 'yearBorn': 1940, 'fiscalYear': 2022, 'totalPay': 0, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Matthew  Nicholls', 'age': 49, 'title': 'Exec. VP, CFO & COO', 'yearBorn': 1973, 'fiscalYear': 2022, 'totalPay': 3794231, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Adam Benjamin Spector', 'age': 54, 'title': 'Exec. VP & Head of Global Distribution', 'yearBorn': 1968, 'fiscalYear': 2022, 'totalPay': 5547423, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Avinash Deepak Satwalekar CFA', 'title': 'Pres of India', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Gwen Louise Shaneyfelt', 'age': 59, 'title': 'Chief Accounting Officer', 'yearBorn': 1963, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Selene  Oh', 'title': 'Head of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Thomas Clifton Merchant', 'age': 53, 'title': 'Exec. VP, Gen. Counsel & Sec.', 'yearBorn': 1969, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Ms. Lisa  Gallegos', 'title': 'Sr. VP of Corp. Communications', 'exercisedValue': 0, 'unexercisedValue': 0}]",8.0,5.0,8.0,3.0,6.0,1685577600.0,1672444800.0,86400.0,2.0,26.4,26.33,26.095,26.415,26.4,26.33,26.095,26.415,1.2,0.044499997,1687996800.0,0.7108,4.01,1.282394,15.740964,10.287401,2503302.0,2503302.0,2884301.0,3147660.0,3147660.0,0.0,0.0,1800.0,1400.0,13087550464.0,20.24,34.37,1.6641089,25.7044,26.4119,1.18,0.044696968,USD,15495486464.0,0.107939996,286609067.0,500863008.0,14190642.0,15706809.0,1682640000.0,1685491200.0,0.028299998,0.4309,0.49705002,4.79,0.0499,0.0,23.621,1.1062189,1664496000.0,1696032000.0,1680220800.0,-0.445,812400000.0,1.66,2.54,-2.98,3:1,1374796800.0,1.97,7.332,0.07221997,0.15015817,0.3,1680134400.0,NYQ,EQUITY,BEN,BEN,"Franklin Resources, Inc.","Franklin Resources, Inc.",433171800.0,America/New_York,EDT,e75084b2-a0b1-3b1e-b920-2bf35cd515f8,finmb_28703,-14400000.0,26.13,28.0,20.0,24.5,25.0,3.5,hold,10.0,3471300096.0,6.931,2113299968.0,3887200000.0,1.769,5.19,7864600064.0,29.002,16.09,0.03812,0.07005,3515300000.0,-133100000.0,1396499968.0,-0.445,-0.074,0.4108,0.26871002,0.21295,USD,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.329999923706055,26.420000076293945,26.100000381469727,26.1299991607666,2579000.0,0.0,0.0,,,,
333 North Central Avenue,Phoenix,AZ,85004-2189,United States,602 366 8100,https://fcx.com,Copper,Copper,Basic Materials,"Freeport-McMoRan Inc. engages in the mining of mineral properties in North America, South America, and Indonesia. It primarily explores for copper, gold, molybdenum, silver, and other metals, as well as oil and gas. The company's assets include the Grasberg minerals district in Indonesia; Morenci, Bagdad, Safford, Sierrita, and Miami in Arizona; Tyrone and Chino in New Mexico; and Henderson and Climax in Colorado, North America, as well as Cerro Verde in Peru and El Abra in Chile. It also operates a portfolio of oil and gas properties primarily located in offshore California and the Gulf of Mexico. The company was formerly known as Freeport-McMoRan Copper & Gold Inc. and changed its name to Freeport-McMoRan Inc. in July 2014. Freeport-McMoRan Inc. was incorporated in 1987 and is headquartered in Phoenix, Arizona.",25600.0,"[{'maxAge': 1, 'name': 'Mr. Richard C. Adkerson', 'age': 75, 'title': 'Chairman & CEO', 'yearBorn': 1947, 'fiscalYear': 2022, 'totalPay': 5773571, 'exercisedValue': 0, 'unexercisedValue': 28935296}, {'maxAge': 1, 'name': 'Ms. Kathleen Lynne Quirk', 'age': 58, 'title': 'Pres & Director', 'yearBorn': 1964, 'fiscalYear': 2022, 'totalPay': 2630480, 'exercisedValue': 10188497, 'unexercisedValue': 19314510}, {'maxAge': 1, 'name': 'Ms. Maree E. Robertson', 'age': 46, 'title': 'CFO & Sr. VP', 'yearBorn': 1976, 'fiscalYear': 2022, 'totalPay': 2012521, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Stephen T. Higgins', 'age': 64, 'title': 'Sr. VP & Chief Admin. Officer', 'yearBorn': 1958, 'fiscalYear': 2022, 'totalPay': 1394448, 'exercisedValue': 0, 'unexercisedValue': 3436233}, {'maxAge': 1, 'name': 'Mr. Douglas N. Currault II', 'age': 57, 'title': 'Sr. VP & Gen. Counsel', 'yearBorn': 1965, 'fiscalYear': 2022, 'totalPay': 1263630, 'exercisedValue': 494833, 'unexercisedValue': 4363025}, {'maxAge': 1, 'name': 'Ms. Ellie L. Mikes', 'age': 44, 'title': 'VP & Chief Accounting Officer', 'yearBorn': 1978, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Bertrand L. Odinet II', 'title': 'VP, Chief Information Officer & Chief Innovation Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. David  Joint', 'title': 'VP of Investor Relations', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Pamela Q. Masson', 'title': 'VP & Chief HR Officer', 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. W. Russell King', 'age': 72, 'title': 'Sr. VP of International Relations & Federal Gov. Affairs', 'yearBorn': 1950, 'exercisedValue': 0, 'unexercisedValue': 0}]",3.0,4.0,3.0,4.0,2.0,1685577600.0,1672444800.0,86400.0,2.0,39.4,38.97,38.91,40.04,39.4,38.97,38.91,40.04,0.6,0.015,1681344000.0,0.33150002,,1.991549,22.094446,18.327188,9600602.0,9600602.0,12518498.0,12370530.0,12370530.0,0.0,0.0,1800.0,4000.0,57001943040.0,24.8,46.73,2.6431394,37.684,37.237,0.6,0.015228426,USD,69547786240.0,0.120749995,1425704196.0,1433289984.0,21276017.0,20296676.0,1682640000.0,1685491200.0,0.0148,0.00563,0.80604,1.69,0.0149,0.0,11.197,3.5518444,1672444800.0,1703980800.0,1680220800.0,-0.566,2596999936.0,1.8,2.17,-2.36,2:1,1296604800.0,3.225,8.672,0.34494424,0.15015817,0.15,1681344000.0,NYQ,EQUITY,FCX,FCX,"Freeport-McMoRan, Inc.",Freeport-McMoRan Inc.,805383000.0,America/New_York,EDT,3a447e02-efa8-35e4-90c2-8f814502ceb8,finmb_273607,-14400000.0,39.77,57.0,29.0,45.97,46.0,2.3,buy,20.0,6851999744.0,4.781,8019999744.0,9635000320.0,1.616,2.792,21565999104.0,37.566,15.023,0.07328,0.14586,9710000000.0,910499968.0,4497999872.0,-0.558,-0.184,0.39326,0.37188,0.27111998,USD,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.970001220703125,40.040000915527344,38.90999984741211,39.77000045776367,10526200.0,0.0,0.0,,,,
